Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5",0603,3,4.7uF,C1705
"C2, C7",0805,2,10uF,C318695
C3,0805,1,0.1uF,C20617880
"C6, C8",0603,2,1.0uF,C1592
"D1, D2, D3",LED-0603,3,LED RED CLEAR SMD,C125099
D4,SMA-DIODE,1,DIODE SCHOTTKY 40V 3A SMA,C85098
D5,LED-0603,1,LED YELLOW CLEAR CHIP SMD,C125095
D6,SOD-323,1,"SOD-323, 3.3V, 0.3W",C550557
F1,1210,1,PTC RESET FUSE 6V 2A 1210,C135353
"J1, J3",M.2-CONNECTOR-E-FUNCTION-STANDARD,2,CONN E,C2977809
J10,JST04_1MM_RA,1,Right Angle Qwiic Connector,C7527619
J11,JST04_1MM_VERT,1,Vertical Qwiic Connector,C160390
"J12, J13",M.2-CONNECTOR-E-Memory,2,CONN E,C2977809
J2,M.2-CONNECTOR-E,1,CONN E,C2977809
J5,USB TYPE C RA SMT 16PIN 10155435-00011LF_AMP,1,USB TYPE C R/A SMT 16PIN,C5409177
J9,JST-2-SMD,1,CONN_JST_BATT,C47647
Q1,SOT23-3,1,MOSFET P-CH 30V 3.1A SOT23-3,C144996
R1,0603,1,19.6k,C22898
"R10, R2",0603,2,10k,C840630
R11,0603,1,4.7k,C4293273
R12,0603,1,2.0k,C2076433
"R13, R14, R5, R6",0603,4,100k,C237115
"R15, R16, R3",0603,3,2.2k,C163872
"R4, R7",0603,2,1k,C2484712
"R8, R9",0603,2,5.1k,C14677
"S1, S2, S3",SW-SMD_SSSS810701,3,switch,C97433
"S4, S5",TACTILE_SWITCH_SMD_5.2MM,2,SMD Switch 5.2mm,C10852
U1,TDFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm,1,IC SWITCH SP3T X 2 750mOhm TDFN-14(3x3),C1522710
U2,SOT-23-6,1,TVS DIODE 3.3VWM 6VC SOT26,C531179
U3,SOT23-5,1,MCP73831 IC BATT CNTL,C424093
U4,UDFN-8,1,IC REG LINEAR 3.3V 1A 8UDFN,C151007
U5,SOT25,1,XC6503D331MR-500mA-3.3V,C2891277
